PaymentID,MsgId,InstrId,EndToEndId,PaymentDate,SettlementDate,Amount,CurrencyCode,DebtorID,CreditorID,DebtorAgentBIC,CreditorAgentBIC,PurposeCode,StatusCode,ProcessingTimeMinutes
PACS008-c12c6a8bf8-INST-20250921-00010,PACS008-c12c6a8bf8,INST-20250921-00010,E2E-20250921-00010,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,1530.18,GBP,P00001,P00012,NDEASESSXXX,ABNANL2AXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00011,PACS008-c12c6a8bf8,INST-20250921-00011,E2E-20250921-00011,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,6242.08,GBP,P00001,P00013,NDEASESSXXX,INGBNL2AXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00012,PACS008-c12c6a8bf8,INST-20250921-00012,E2E-20250921-00012,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,13464.76,GBP,P00001,P00014,NDEASESSXXX,CCFRFRPPXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00014,PACS008-c12c6a8bf8,INST-20250921-00014,E2E-20250921-00014,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,192274.42,USD,P00001,P00016,NDEASESSXXX,POFICHBEXXX,ROYA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00016,PACS008-c12c6a8bf8,INST-20250921-00016,E2E-20250921-00016,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,1917.53,CAD,P00001,P00018,NDEASESSXXX,ULSBIE2DXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00017,PACS008-c12c6a8bf8,INST-20250921-00017,E2E-20250921-00017,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5535.47,JPY,P00001,P00019,NDEASESSXXX,INGBNL2AXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00018,PACS008-c12c6a8bf8,INST-20250921-00018,E2E-20250921-00018,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,3626.03,SEK,P00001,P00020,NDEASESSXXX,BBVAESMMXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00019,PACS008-c12c6a8bf8,INST-20250921-00019,E2E-20250921-00019,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,8224.74,AUD,P00001,P00021,NDEASESSXXX,SNSBNL2AXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00020,PACS008-c12c6a8bf8,INST-20250921-00020,E2E-20250921-00020,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,8352.80,AUD,P00001,P00022,NDEASESSXXX,SOGEFRPPXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00021,PACS008-c12c6a8bf8,INST-20250921-00021,E2E-20250921-00021,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,11497.04,GBP,P00001,P00023,NDEASESSXXX,LOYDGB2LXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00022,PACS008-c12c6a8bf8,INST-20250921-00022,E2E-20250921-00022,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5274.76,USD,P00001,P00024,NDEASESSXXX,HYVEDEMMXXX,ROYA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00023,PACS008-c12c6a8bf8,INST-20250921-00023,E2E-20250921-00023,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,644549.35,EUR,P00001,P00025,NDEASESSXXX,CHASUS33XXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00024,PACS008-c12c6a8bf8,INST-20250921-00024,E2E-20250921-00024,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,117967.47,USD,P00001,P00026,NDEASESSXXX,SNSBNL2AXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00025,PACS008-c12c6a8bf8,INST-20250921-00025,E2E-20250921-00025,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,3218.70,AUD,P00001,P00027,NDEASESSXXX,BCITITMMXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00027,PACS008-c12c6a8bf8,INST-20250921-00027,E2E-20250921-00027,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,12945.57,CHF,P00001,P00029,NDEASESSXXX,ULSBIE2DXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00028,PACS008-c12c6a8bf8,INST-20250921-00028,E2E-20250921-00028,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,3709.59,JPY,P00001,P00030,NDEASESSXXX,POFICHBEXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00029,PACS008-c12c6a8bf8,INST-20250921-00029,E2E-20250921-00029,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,4690.81,USD,P00001,P00031,NDEASESSXXX,SOGEFRPPXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00030,PACS008-c12c6a8bf8,INST-20250921-00030,E2E-20250921-00030,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,165643.03,GBP,P00001,P00032,NDEASESSXXX,IRCEIE2DXXX,EDUC,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00031,PACS008-c12c6a8bf8,INST-20250921-00031,E2E-20250921-00031,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,7078.49,SEK,P00001,P00033,NDEASESSXXX,WFBIUS6SXXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00032,PACS008-c12c6a8bf8,INST-20250921-00032,E2E-20250921-00032,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,6391.29,EUR,P00001,P00034,NDEASESSXXX,ABNANL2AXXX,GOVT,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00033,PACS008-c12c6a8bf8,INST-20250921-00033,E2E-20250921-00033,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,100605.44,CHF,P00001,P00035,NDEASESSXXX,LOYDGB2LXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00034,PACS008-c12c6a8bf8,INST-20250921-00034,E2E-20250921-00034,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,105170.36,JPY,P00001,P00036,NDEASESSXXX,DEUTDEFFXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00035,PACS008-c12c6a8bf8,INST-20250921-00035,E2E-20250921-00035,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,12824.33,SEK,P00001,P00037,NDEASESSXXX,NWBKGB2LXXX,ROYA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00036,PACS008-c12c6a8bf8,INST-20250921-00036,E2E-20250921-00036,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5458.21,USD,P00001,P00038,NDEASESSXXX,HBUKGB4BXXX,DIVD,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00037,PACS008-c12c6a8bf8,INST-20250921-00037,E2E-20250921-00037,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,4273.73,SEK,P00001,P00039,NDEASESSXXX,SWEDSESSXXX,GOVT,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00038,PACS008-c12c6a8bf8,INST-20250921-00038,E2E-20250921-00038,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,10535.14,CAD,P00001,P00040,NDEASESSXXX,HBUKGB4BXXX,PENS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00039,PACS008-c12c6a8bf8,INST-20250921-00039,E2E-20250921-00039,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,9969.83,CAD,P00001,P00041,NDEASESSXXX,RAIFCH22XXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00040,PACS008-c12c6a8bf8,INST-20250921-00040,E2E-20250921-00040,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,8274.43,USD,P00001,P00042,NDEASESSXXX,BESCPTPLXXX,GOVT,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00041,PACS008-c12c6a8bf8,INST-20250921-00041,E2E-20250921-00041,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,9615.66,CAD,P00001,P00043,NDEASESSXXX,BCITITMMXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00042,PACS008-c12c6a8bf8,INST-20250921-00042,E2E-20250921-00042,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,2783.60,AUD,P00001,P00044,NDEASESSXXX,ABNANL2AXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00043,PACS008-c12c6a8bf8,INST-20250921-00043,E2E-20250921-00043,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,6969.87,USD,P00001,P00045,NDEASESSXXX,CAIXESBBXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00044,PACS008-c12c6a8bf8,INST-20250921-00044,E2E-20250921-00044,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,12937.44,SEK,P00001,P00046,NDEASESSXXX,CAIXESBBXXX,GOVT,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00045,PACS008-c12c6a8bf8,INST-20250921-00045,E2E-20250921-00045,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5560.53,EUR,P00001,P00047,NDEASESSXXX,POFICHBEXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00046,PACS008-c12c6a8bf8,INST-20250921-00046,E2E-20250921-00046,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5911.38,GBP,P00001,P00048,NDEASESSXXX,BSABESBBXXX,DIVD,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00047,PACS008-c12c6a8bf8,INST-20250921-00047,E2E-20250921-00047,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5387.46,GBP,P00001,P00049,NDEASESSXXX,INGBNL2AXXX,GOVT,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00048,PACS008-c12c6a8bf8,INST-20250921-00048,E2E-20250921-00048,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,7545.63,JPY,P00001,P00050,NDEASESSXXX,ACTVPTPLXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00049,PACS008-c12c6a8bf8,INST-20250921-00049,E2E-20250921-00049,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5911.39,AUD,P00001,P00051,NDEASESSXXX,BNPAFRPPXXX,ROYA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00050,PACS008-c12c6a8bf8,INST-20250921-00050,E2E-20250921-00050,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,13497.21,GBP,P00001,P00052,NDEASESSXXX,BESCPTPLXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00051,PACS008-c12c6a8bf8,INST-20250921-00051,E2E-20250921-00051,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,7408.07,CAD,P00001,P00053,NDEASESSXXX,DEUTDEFFXXX,EDUC,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00052,PACS008-c12c6a8bf8,INST-20250921-00052,E2E-20250921-00052,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,2721.97,CHF,P00001,P00054,NDEASESSXXX,RABONL2UXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00053,PACS008-c12c6a8bf8,INST-20250921-00053,E2E-20250921-00053,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,3434.06,GBP,P00001,P00055,NDEASESSXXX,CGDIPTPLXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00054,PACS008-c12c6a8bf8,INST-20250921-00054,E2E-20250921-00054,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,966.27,JPY,P00001,P00056,NDEASESSXXX,AIBKIE2DXXX,EDUC,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00056,PACS008-c12c6a8bf8,INST-20250921-00056,E2E-20250921-00056,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,12154.44,GBP,P00001,P00058,NDEASESSXXX,BARCGB22XXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00058,PACS008-c12c6a8bf8,INST-20250921-00058,E2E-20250921-00058,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,3307.91,EUR,P00001,P00060,NDEASESSXXX,HANDSESSXXX,ROYA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00059,PACS008-c12c6a8bf8,INST-20250921-00059,E2E-20250921-00059,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,14818.50,EUR,P00001,P00061,NDEASESSXXX,AGRIFRPPXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00060,PACS008-c12c6a8bf8,INST-20250921-00060,E2E-20250921-00060,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,14346.52,EUR,P00001,P00062,NDEASESSXXX,INGBNL2AXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00061,PACS008-c12c6a8bf8,INST-20250921-00061,E2E-20250921-00061,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,224263.90,USD,P00001,P00063,NDEASESSXXX,UBSWCHZH80A,EDUC,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00062,PACS008-c12c6a8bf8,INST-20250921-00062,E2E-20250921-00062,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,8412.30,GBP,P00001,P00064,NDEASESSXXX,NOVAPTPLXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00063,PACS008-c12c6a8bf8,INST-20250921-00063,E2E-20250921-00063,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,251.81,SEK,P00001,P00065,NDEASESSXXX,HYVEDEMMXXX,PENS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00064,PACS008-c12c6a8bf8,INST-20250921-00064,E2E-20250921-00064,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,13082.28,EUR,P00001,P00066,NDEASESSXXX,IRCEIE2DXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00065,PACS008-c12c6a8bf8,INST-20250921-00065,E2E-20250921-00065,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,1117570.11,EUR,P00001,P00067,NDEASESSXXX,CHASUS33XXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00066,PACS008-c12c6a8bf8,INST-20250921-00066,E2E-20250921-00066,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,19938.22,USD,P00001,P00068,NDEASESSXXX,BCOEESMMXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00067,PACS008-c12c6a8bf8,INST-20250921-00067,E2E-20250921-00067,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,3731.96,USD,P00001,P00069,NDEASESSXXX,RABONL2UXXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00069,PACS008-c12c6a8bf8,INST-20250921-00069,E2E-20250921-00069,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5152.05,USD,P00001,P00071,NDEASESSXXX,BARCGB22XXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00070,PACS008-c12c6a8bf8,INST-20250921-00070,E2E-20250921-00070,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,226586.77,JPY,P00001,P00072,NDEASESSXXX,LOYDGB2LXXX,PENS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00071,PACS008-c12c6a8bf8,INST-20250921-00071,E2E-20250921-00071,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,103978.75,USD,P00001,P00073,NDEASESSXXX,BPPIITRRXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00072,PACS008-c12c6a8bf8,INST-20250921-00072,E2E-20250921-00072,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,587.21,CAD,P00001,P00074,NDEASESSXXX,NDEASESSXXX,EDUC,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00073,PACS008-c12c6a8bf8,INST-20250921-00073,E2E-20250921-00073,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,11276.70,AUD,P00001,P00075,NDEASESSXXX,CITIUS33XXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00074,PACS008-c12c6a8bf8,INST-20250921-00074,E2E-20250921-00074,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,14718.32,SEK,P00001,P00076,NDEASESSXXX,RAIFCH22XXX,GOVT,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00075,PACS008-c12c6a8bf8,INST-20250921-00075,E2E-20250921-00075,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,10473.35,JPY,P00001,P00077,NDEASESSXXX,BPPIITRRXXX,EDUC,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00076,PACS008-c12c6a8bf8,INST-20250921-00076,E2E-20250921-00076,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,14205.97,JPY,P00001,P00078,NDEASESSXXX,HBUKGB4BXXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00077,PACS008-c12c6a8bf8,INST-20250921-00077,E2E-20250921-00077,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,11560.67,CAD,P00001,P00079,NDEASESSXXX,BYLADEM1001,PENS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00078,PACS008-c12c6a8bf8,INST-20250921-00078,E2E-20250921-00078,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,212682.69,USD,P00001,P00080,NDEASESSXXX,ABNANL2AXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00079,PACS008-c12c6a8bf8,INST-20250921-00079,E2E-20250921-00079,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,14398.36,CAD,P00001,P00081,NDEASESSXXX,NWBKGB2LXXX,DIVD,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00081,PACS008-c12c6a8bf8,INST-20250921-00081,E2E-20250921-00081,2025-09-21T08:58:00+00:00,2025-09-21T10:00:00+00:00,6046.56,USD,P00001,P00083,NDEASESSXXX,IRCEIE2DXXX,TAXS,ACSC,62.0
PACS008-c12c6a8bf8-INST-20250921-00082,PACS008-c12c6a8bf8,INST-20250921-00082,E2E-20250921-00082,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,35452.34,CHF,P00001,P00084,NDEASESSXXX,BSABESBBXXX,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00083,PACS008-c12c6a8bf8,INST-20250921-00083,E2E-20250921-00083,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5760.39,CHF,P00001,P00085,NDEASESSXXX,COBADEFFXXX,TAXS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00084,PACS008-c12c6a8bf8,INST-20250921-00084,E2E-20250921-00084,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,49546.32,JPY,P00001,P00086,NDEASESSXXX,BARCGB22XXX,EDUC,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00085,PACS008-c12c6a8bf8,INST-20250921-00085,E2E-20250921-00085,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,58527.81,CHF,P00001,P00087,NDEASESSXXX,HBUKGB4BXXX,DIVD,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00086,PACS008-c12c6a8bf8,INST-20250921-00086,E2E-20250921-00086,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,1009757.33,AUD,P00001,P00088,NDEASESSXXX,BCOEESMMXXX,PENS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00087,PACS008-c12c6a8bf8,INST-20250921-00087,E2E-20250921-00087,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5055.90,USD,P00001,P00089,NDEASESSXXX,IRCEIE2DXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00088,PACS008-c12c6a8bf8,INST-20250921-00088,E2E-20250921-00088,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,7890.76,CHF,P00001,P00090,NDEASESSXXX,CRESCHZZ80A,SERV,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00089,PACS008-c12c6a8bf8,INST-20250921-00089,E2E-20250921-00089,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,11839.39,JPY,P00001,P00091,NDEASESSXXX,RAIFCH22XXX,DIVD,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00090,PACS008-c12c6a8bf8,INST-20250921-00090,E2E-20250921-00090,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,2617.69,GBP,P00001,P00092,NDEASESSXXX,ESSESESSXXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00091,PACS008-c12c6a8bf8,INST-20250921-00091,E2E-20250921-00091,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,1625696.66,CAD,P00001,P00093,NDEASESSXXX,CITIUS33XXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00092,PACS008-c12c6a8bf8,INST-20250921-00092,E2E-20250921-00092,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,42893.39,EUR,P00001,P00094,NDEASESSXXX,SOGEFRPPXXX,PENS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00093,PACS008-c12c6a8bf8,INST-20250921-00093,E2E-20250921-00093,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,5373.47,GBP,P00001,P00095,NDEASESSXXX,LOYDGB2LXXX,SALA,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00094,PACS008-c12c6a8bf8,INST-20250921-00094,E2E-20250921-00094,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,3922.59,USD,P00001,P00096,NDEASESSXXX,CGDIPTPLXXX,PENS,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00095,PACS008-c12c6a8bf8,INST-20250921-00095,E2E-20250921-00095,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,1631.07,GBP,P00001,P00097,NDEASESSXXX,SWEDSESSXXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00096,PACS008-c12c6a8bf8,INST-20250921-00096,E2E-20250921-00096,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,10276.30,GBP,P00001,P00098,NDEASESSXXX,BESCPTPLXXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00097,PACS008-c12c6a8bf8,INST-20250921-00097,E2E-20250921-00097,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,2175.81,AUD,P00001,P00099,NDEASESSXXX,INGBNL2AXXX,LOAN,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00098,PACS008-c12c6a8bf8,INST-20250921-00098,E2E-20250921-00098,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,14481.76,CHF,P00001,P00100,NDEASESSXXX,CHASUS33XXX,SUPP,ACSP,119.0
PACS008-c12c6a8bf8-INST-20250921-00099,PACS008-c12c6a8bf8,INST-20250921-00099,E2E-20250921-00099,2025-09-21T08:58:00+00:00,2025-09-21T10:57:00+00:00,54875.86,CAD,P00001,P00101,NDEASESSXXX,SNSBNL2AXXX,GOVT,ACSP,119.0
